order_id,asin,gross_amount,fba_fee,promo_discount,commission,net_amount
NW-1010,B02867825X,178.04,17.67,1.99,26.71,131.67
NW-1011,B02719583X,2732.66,389.27,11.88,409.90,1921.61
NW-1012,B08078673X,204.59,17.71,16.37,30.69,139.82
NW-1013,B01445199X,2280.08,296.69,79.95,342.01,1561.43
NW-1014,B08038374X,944.13,114.47,38.21,141.62,649.83
NW-1015,B01109031X,3054.52,278.50,64.54,458.18,2253.30
NW-1016,B05661907X,689.48,101.36,11.60,103.42,473.10
NW-1017,B02556017X,1569.32,777.38,26.99,235.40,529.55
NW-1018,B05437923X,3243.94,425.22,86.97,486.59,2245.16
NW-1019,B07350753X,388.90,39.09,(12.22),58.33,279.26
NW-1020,B07067228X,2343.22,303.03,5.37,351.48,1683.34
NW-1021,B04823498X,3110.43,463.35,133.02,466.56,2047.50
NW-1022,B02694522X,1570.09,175.44,65.48,235.51,1093.66
NW-1023,B03728882X,1531.11,144.94,20.44,229.67,1136.06
NW-1024,B02197935X,2467.79,226.99,89.97,370.17,1780.66
NW-1025,B03741438X,1892.06,187.12,87.54,283.81,1333.59
NW-1026,B04684531X,2763.69,384.15,107.23,414.55,1857.76
NW-1027,B04842788X,3301.47,450.17,66.22,495.22,2289.86
NW-1028,B02110460X,907.05,132.43,39.75,136.06,598.81
NW-1029,B06279418X,913.50,105.00,40.41,137.03,631.06
NW-1030,B08698256X,640.06,57.46,23.84,96.01,462.75
NW-1031,B05408072X,3008.29,330.88,87.77,451.24,2138.40
NW-1032,B07073292X,939.74,140.80,23.94,140.96,634.04
NW-1033,B02525206X,3042.67,426.82,23.25,456.40,2136.20
NW-1034,B03684052X,3184.95,348.92,10.12,477.74,2348.17
NW-1031,B05408072X,3008.29,330.88,87.77,451.24,2138.40
